,Country (or area),Subregion,Region,Total wealth(USD bn),% of world,Wealth to GDPratio[3](2017–19)
169,Cuba *,Caribbean,Americas,—,—,—
170,Dominica *,Caribbean,Americas,—,—,—
171,Antigua and Barbuda *,Caribbean,Americas,—,—,—
172,Tonga *,Polynesia,Oceania,—,—,—
173,Saint Lucia *,Caribbean,Americas,—,—,—
174,Grenada *,Caribbean,Americas,—,—,—
175,Samoa *,Polynesia,Oceania,—,—,—
176,Solomon Islands *,Melanesia,Oceania,—,—,—
177,Somalia *,Eastern Africa,Africa,—,—,—
178,Uzbekistan *,Central Asia,Asia,—,—,—
